timestamp,q01,q02,q05,q06,q07,q08,q09,q10,q11,q12_genderbalance,q12_diversity,q12_equity,q12_inclusion,q13,q14,q17_genderbalance,q17_diversity,q17_equity,q17_inclusion,q19,q03_regional,q04_regional,q01_clustered,q13_clustered,q01q02_clustered,q13q14_clustered,q10_binned,q13_binned,q15_polarity,q15_subjectivity,q16_polarity,q16_subjectivity,q18_polarity,q18_subjectivity,q20_polarity,q20_subjectivity,q21_polarity,q21_subjectivity,q22_polarity,q22_subjectivity
2023-07-09,20s,Female,Master,CRI: Cosmic-ray physics (Indirect),Experimentalist,1 - 3 years,Yes,2,No,Good,Good,Good,Good,5,Poor,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster1,Cluster1,2,0%,0.1,0.4499999999999999,0.25,0.3333333333333333,,,0.0,0.0,0.0,1.0,,
2023-07-09,20s,Female,Fixed-term staff,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Prefer not to answer,-1,No,Poor,Poor,Poor,Poor,10,Poor,Agree,Agree,Agree,Agree,High school,Asia,Asia,Cluster1,Cluster1,Cluster1,Cluster1,Prefer not to answer,10%,-0.04375,0.75,0.0,0.0,0.25,0.3333333333333333,,,,,,
2023-07-09,50s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,3,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,20,Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Junior High school,America,America,Cluster2,Cluster1,Others,Cluster1,3,20%,,,,,,,,,,,,
2023-07-09,20s,Male,Master,CRI: Cosmic-ray physics (Indirect),Experimentalist,3 - 5 years,No,0,No,No interest,No interest,No interest,Very Good,25,Good,Agree,Agree,Agree,Agree,Elementary school,America,America,Cluster1,Others,Cluster2,Others,0,25%,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,,
2023-07-09,30s,Male,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Others,5 - 10 yeas,Yes,1,No,Good,Poor,Good,Good,20,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,20%,,,,,,,,,,,,
2023-07-09,50s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,Yes,2,No,Good,Good,Good,Good,25,Poor,Agree,Agree,Agree,Agree,Elementary school,America,America,Cluster2,Others,Others,Others,2,25%,0.0,0.0,-0.125,0.2833333333333333,0.0,0.0,0.0,0.0,-0.125,0.375,0.0,0.0
2023-07-09,30s,Male,Postdoc,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,1,Yes,Good,Good,Good,Good,30,Good,Agree,Agree,No interest,Agree,Junior High school,America,America,Cluster1,Others,Cluster2,Cluster2,1,30%,,,,,,,,,,,,
2023-07-09,50s,Male,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,> 10 years,Yes,2,No,Good,Good,Good,Good,40,Poor,Agree,Agree,Agree,Agree,Elementary school,America,America,Cluster2,Cluster2,Others,Others,2,40%,,,,,,,,,,,,
2023-07-09,40s,Female,Permanent staff,NU: Neutrino astronomy & physics,Others,> 10 years,Yes,1,Yes,Poor,Poor,Poor,Poor,27,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster2,Others,Others,Others,1,25%,0.1,0.3,0.1488927738927739,0.3778554778554778,0.0594642857142857,0.494642857142857,0.0026515151515151,0.503030303030303,0.2799999999999999,0.4599999999999999,0.2166666666666666,0.5666666666666667
2023-07-09,50s,Male,Permanent staff,SH: Solar & heliospheric physics,Prefer not to answer,> 10 years,Yes,1,Yes,Good,Good,Prefer not to answer,Good,43,Good,Agree,Agree,Prefer not to answer,Agree,Elementary school,Asia,Asia,Cluster2,Cluster2,Others,Cluster2,1,40%,-0.1145833333333333,0.20625,-0.0833333333333333,0.0833333333333333,0.0,0.3571428571428571,0.2666666666666666,0.2666666666666666,0.0416666666666666,0.4166666666666666,,
2023-07-09,20s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Yes,1,No,Poor,Good,Poor,Poor,10,Very Poor,Agree,Agree,Agree,Agree,Elementary school,America,America,Cluster1,Cluster1,Cluster2,Cluster1,1,10%,,,,,0.4,1.0,0.0833333333333333,0.5833333333333333,0.0,0.0,,
2023-07-09,20s,Male,Undergraduate,NU: Neutrino astronomy & physics,Theorist,1 - 3 years,Yes,1,Yes,Good,Good,Good,Good,67,Very Good,Agree,Agree,Agree,Agree,High school,America,America,Cluster1,Cluster2,Cluster2,Cluster2,1,65%,,,,,,,,,,,,
2023-07-09,20s,Male,Doctrate,GA: Gamma-ray astronomy,Theorist,3 - 5 years,Yes,2,No,Good,Good,Good,Poor,30,Good,No interest,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Others,Cluster2,Cluster2,2,30%,,,,,,,,,,,,
2023-07-09,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,1 - 3 years,Yes,1,No,Very Good,Very Good,Very Good,Very Good,45,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,1,45%,0.7,0.6000000000000001,,,0.35,0.15,,,,,,
2023-07-09,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,1,No,Very Poor,Poor,Good,Poor,10,Very Poor,Disagree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,1,10%,,,,,,,,,,,,
2023-07-09,30s,Male,Fixed-term staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,No,2,No,Good,Good,Good,Poor,10,Very Poor,Prefer not to answer,Disagree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,2,10%,,,,,,,,,,,,
2023-07-09,30s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,3,No,Good,Good,Good,Poor,35,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster2,Others,3,35%,,,,,,,,,,,,
2023-07-09,20s,Male,Postdoc,CRD: Cosmic-ray physics (Direct),Theorist,3 - 5 years,Yes,1,No,Good,Good,Good,Good,50,Very Good,Agree,Agree,Agree,Agree,Junior High school,America,Europe,Cluster1,Cluster2,Cluster2,Cluster2,1,50%,,,,,,,,,,,,
2023-07-09,30s,Female,Postdoc,NU: Neutrino astronomy & physics,Others,3 - 5 years,Prefer not to answer,2,No,Good,Good,Good,Good,42,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,2,40%,,,,,,,,,,,,
2023-07-09,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Experimentalist,1 - 3 years,Yes,2,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,15,Poor,Agree,Agree,Agree,Agree,Pre school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,2,15%,,,,,0.401060606060606,0.7166666666666667,,,-0.0120833333333333,0.44125,-0.0352083333333333,0.3202083333333333
2023-07-09,20s,Male,Doctrate,GA: Gamma-ray astronomy,Theorist,1 - 3 years,Yes,1,No,Good,Good,Poor,Poor,50,Very Good,Agree,Agree,Agree,Agree,Elementary school,Europe,America,Cluster1,Cluster2,Cluster2,Cluster2,1,50%,,,,,,,,,,,,
2023-07-09,20s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Yes,0,No,No interest,No interest,No interest,No interest,20,Poor,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,0,20%,,,,,,,,,,,,
2023-07-09,20s,Male,Postdoc,DM: Dark-matter physics,Theorist,5 - 10 yeas,Yes,4,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,40,Good,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,4,40%,,,,,,,,,,,,
2023-07-09,40s,Male,Permanent staff,MM&GW: Multimessenger & gravitational wave,Experimentalist,> 10 years,Yes,3,Yes,Poor,Good,Good,Good,30,Good,Agree,Prefer not to answer,Agree,Agree,High school,Asia,Asia,Cluster2,Others,Others,Cluster2,3,30%,,,,,0.3999999999999999,0.7000000000000001,,,,,,
2023-07-09,20s,Female,Postdoc,DM: Dark-matter physics,Prefer not to answer,3 - 5 years,Yes,1,No,Very Good,Very Good,Very Good,Very Good,25,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster1,Others,1,25%,0.0333333333333333,0.175,,,,,,,,,,
2023-07-09,20s,Male,Master,CRI: Cosmic-ray physics (Indirect),Theorist,1 - 3 years,Yes,3,Yes,Good,Good,Good,Good,30,Good,Agree,Agree,Agree,Agree,High school,Europe,Asia,Cluster1,Others,Cluster2,Cluster2,3,30%,,,,,,,,,,,,
2023-07-09,40s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,4,No,Good,Good,Good,Good,25,Good,Agree,Agree,Agree,Agree,High school,Asia,Asia,Cluster2,Others,Others,Others,4,25%,,,,,,,,,,,,
2023-07-09,30s,Male,Fixed-term staff,GA: Gamma-ray astronomy,Others,> 10 years,Prefer not to answer,1,Prefer not to answer,Good,Good,Good,Good,20,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,20%,,,,,,,0.0,1.0,,,,
2023-07-09,30s,Female,Doctrate,CRI: Cosmic-ray physics (Indirect),Experimentalist,3 - 5 years,Yes,3,No,Very Good,Very Good,Very Good,Very Good,60,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,3,60%,,,,,,,,,,,,
2023-07-09,50s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,2,Yes,Poor,Poor,Poor,Poor,15,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster2,Cluster1,Others,Cluster1,2,15%,,,,,,,,,,,,
2023-07-09,30s,Male,Postdoc,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,1,No,Good,Poor,Good,Good,30,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster2,Others,1,30%,,,,,,,,,0.1666666666666666,0.3333333333333333,,
2023-07-10,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,< 1 year,Yes,4,No,Good,Good,Good,Good,50,Good,Agree,Agree,Agree,Agree,Elementary school,America,Asia,Cluster1,Cluster2,Cluster2,Cluster2,4,50%,,,,,,,,,,,,
2023-07-10,30s,Male,Postdoc,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Yes,1,Yes,No interest,No interest,No interest,No interest,35,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Others,Cluster2,Others,1,35%,-0.0180555555555555,0.3361111111111111,,,,,,,0.0,0.0,,
2023-07-10,30s,Female,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,> 10 years,Yes,0,No,Good,Good,Very Good,Good,20,Good,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster1,Cluster1,Cluster1,Others,0,20%,,,,,0.0,0.0,-0.4,0.6,-0.4,0.6,-0.3,0.65
2023-07-10,50s,Male,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,3,No,Good,Good,Good,Good,20,Prefer not to answer,No interest,Agree,Agree,Agree,High school,America,America,Cluster2,Cluster1,Others,Others,3,20%,,,,,,,,,,,,
2023-07-10,30s,Female,Postdoc,DM: Dark-matter physics,Theorist,3 - 5 years,Yes,2,Yes,Very Poor,Poor,Good,Very Good,33,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Asia,Cluster1,Others,Cluster1,Others,2,30%,0.0,0.3,,,,,-0.1769230769230768,0.6717948717948717,0.2666666666666666,0.6333333333333333,,
2023-07-10,20s,Female,Doctrate,MM&GW: Multimessenger & gravitational wave,Experimentalist,1 - 3 years,Yes,1,Yes,Very Good,Very Good,Good,Good,60,Very Good,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,1,60%,,,,,,,-0.05,0.2833333333333333,0.08,0.3847619047619047,,
2023-07-10,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,1,Yes,Poor,Very Poor,Very Poor,Very Poor,20,Very Poor,Agree,Agree,Agree,Agree,University,Europe,America,Cluster1,Cluster1,Cluster2,Cluster1,1,20%,,,,,,,,,,,,
2023-07-10,30s,Male,Doctrate,MM&GW: Multimessenger & gravitational wave,Theorist,1 - 3 years,No,2,Yes,Very Good,Good,Good,Good,50,Very Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,2,50%,,,,,,,,,0.1194444444444444,0.5361111111111111,,
2023-07-10,50s,Male,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,> 10 years,Yes,3,Yes,Very Poor,Good,Good,Good,15,Very Poor,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,3,15%,0.0,0.0,-0.125,0.2833333333333333,,,0.0,0.0,0.0166666666666666,0.0833333333333333,,
2023-07-10,40s,Male,Permanent staff,CRD: Cosmic-ray physics (Direct),Theorist,> 10 years,Yes,5,No,Very Poor,Very Poor,Good,Poor,10,Very Poor,Agree,Agree,Agree,Agree,Pre school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,5,10%,,,,,,,,,,,,
2023-07-10,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,1 - 3 years,Yes,4,Prefer not to answer,Good,Good,Good,Good,20,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,4,20%,,,,,,,,,,,,
2023-07-10,30s,Male,Postdoc,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,1,No,Poor,Good,Good,Good,11,Poor,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,1,10%,,,,,,,,,,,,
2023-07-10,20s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Prefer not to answer,2,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,10,Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,High school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,2,10%,,,,,0.0,0.0,,,,,,
2023-07-10,30s,Male,Postdoc,CRI: Cosmic-ray physics (Indirect),Theorist,3 - 5 years,Yes,5,No,No interest,No interest,No interest,No interest,3,No interest,No interest,No interest,No interest,No interest,University,Asia,Europe,Cluster1,Cluster1,Cluster2,Others,5,0%,,,,,,,,,,,,
2023-07-10,60s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,Yes,0,No,Good,No interest,Good,Good,50,Good,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster2,Cluster2,Others,Cluster2,0,50%,,,,,,,,,,,,
2023-07-10,20s,Male,Doctrate,MM&GW: Multimessenger & gravitational wave,Theorist,1 - 3 years,Yes,-1,No,Good,Good,Good,Good,30,Prefer not to answer,Agree,Agree,Agree,Agree,High school,Asia,Asia,Cluster1,Others,Cluster2,Others,Prefer not to answer,30%,,,,,,,,,,,,
2023-07-10,30s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Theorist,1 - 3 years,Yes,-1,Yes,Very Good,Very Good,Good,Good,20,Good,Agree,Agree,Agree,Agree,High school,Asia,Asia,Cluster1,Cluster1,Cluster2,Others,Prefer not to answer,20%,,,,,,,,,,,,
2023-07-10,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Theorist,1 - 3 years,Yes,2,Yes,Good,Very Good,Very Good,Very Good,20,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,2,20%,,,,,-0.375,0.5,,,0.05,0.3,,
2023-07-10,20s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,1,No,Poor,Good,Good,Poor,7,Very Poor,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,1,0%,,,,,,,,,,,,
2023-07-10,20s,Female,Postdoc,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,1,Yes,Poor,Very Good,Good,Very Good,25,Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,High school,Europe,Europe,Cluster1,Others,Cluster1,Others,1,25%,-0.1,0.4,,,0.0145833333333333,0.5895833333333333,,,,,,
2023-07-10,30s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,2,No,Good,Good,Good,Good,43,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,2,40%,,,,,,,,,,,,
2023-07-10,30s,Male,Postdoc,SH: Solar & heliospheric physics,Experimentalist,5 - 10 yeas,No,3,No,Poor,Poor,Very Poor,Poor,-1,Prefer not to answer,Agree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster1,Cluster1,Cluster2,Others,3,Prefer not to answer,,,,,,,,,,,,
2023-07-10,20s,Female,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,1,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,15,No interest,No interest,No interest,No interest,No interest,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster1,Others,1,15%,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
2023-07-10,30s,Female,Postdoc,MM&GW: Multimessenger & gravitational wave,Experimentalist,5 - 10 yeas,Prefer not to answer,2,No,Very Poor,Very Poor,Poor,Very Poor,18,Very Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster1,Cluster1,Cluster1,2,15%,,,,,,,,,,,,
2023-07-10,30s,Male,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,5 - 10 yeas,No,8,No,Good,Good,Good,Very Good,30,Good,Disagree,Disagree,Disagree,Disagree,Elementary school,Europe,Europe,Cluster1,Others,Cluster2,Cluster2,8,30%,,,,,,,0.0,0.4,,,,
2023-07-10,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Experimentalist,3 - 5 years,Yes,3,Yes,Good,Good,Good,Good,30,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster2,Cluster2,3,30%,,,,,,,,,,,,
2023-07-10,30s,Female,Postdoc,GA: Gamma-ray astronomy,Experimentalist,3 - 5 years,Yes,5,No,Good,Poor,Poor,Good,40,Good,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Cluster2,Cluster1,Cluster2,5,40%,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
2023-07-10,50s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,0,No,Good,Good,Good,Good,25,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster2,Others,Others,Others,0,25%,,,,,,,,,,,,
2023-07-10,20s,Female,Doctrate,GA: Gamma-ray astronomy,Theorist,< 1 year,Yes,2,No,Poor,Very Poor,Poor,Poor,25,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster1,Others,2,25%,,,,,,,,,,,,
2023-07-10,20s,Male,Doctrate,CRI: Cosmic-ray physics (Indirect),Experimentalist,3 - 5 years,Yes,1,No,Good,Poor,Poor,Poor,20,Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,High school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,20%,,,,,0.0,0.0,,,,,,
2023-07-10,20s,Male,Doctrate,GA: Gamma-ray astronomy,Theorist,1 - 3 years,Yes,1,No,Good,Good,Good,Good,0,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster2,Cluster1,1,0%,0.0,0.05,,,,,-0.1458333333333333,0.2708333333333333,0.0,0.0,,
2023-07-10,40s,Male,Postdoc,NU: Neutrino astronomy & physics,Experimentalist,> 10 years,No,1,No,Good,Good,Good,Good,20,Poor,Agree,Agree,Agree,Agree,Pre school,Europe,Europe,Cluster2,Cluster1,Others,Cluster1,1,20%,,,,,,,,,,,,
2023-07-10,20s,Male,Postdoc,CRI: Cosmic-ray physics (Indirect),Experimentalist,5 - 10 yeas,Yes,2,Yes,Good,Good,Good,Very Poor,45,Good,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,2,45%,,,,,,,,,,,,
2023-07-10,40s,Male,Master,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Prefer not to answer,0,No,Poor,Good,Good,Good,0,Good,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Elementary school,Europe,Europe,Cluster2,Cluster1,Others,Others,0,0%,,,,,0.1833333333333333,0.3083333333333333,,,,,,
2023-07-10,30s,Male,Fixed-term staff,DM: Dark-matter physics,Experimentalist,5 - 10 yeas,Yes,5,No,Good,Good,Very Good,Very Good,22,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster2,Cluster1,5,20%,,,,,,,,,,,,
2023-07-10,30s,Male,Fixed-term staff,CRD: Cosmic-ray physics (Direct),Experimentalist,5 - 10 yeas,Yes,-1,Prefer not to answer,Very Good,Very Good,Very Good,Very Good,2,Good,Prefer not to answer,Prefer not to answer,Agree,Agree,Pre school,Europe,Europe,Cluster1,Cluster1,Cluster2,Others,Prefer not to answer,0%,,,,,,,,,,,,
2023-07-10,30s,Male,Doctrate,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,-1,No,Poor,Good,Good,Good,30,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Asia,Cluster1,Others,Cluster2,Others,Prefer not to answer,30%,0.1787878787878788,0.4333333333333333,,,,,,,,,0.2125,0.4753205128205128
2023-07-10,20s,Female,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Yes,2,Yes,Good,Good,Poor,Poor,20,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster1,Cluster1,Cluster1,2,20%,,,,,,,,,,,,
2023-07-10,20s,Male,Doctrate,MM&GW: Multimessenger & gravitational wave,Experimentalist,1 - 3 years,Yes,2,Yes,Good,Poor,Good,Good,30,Poor,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster2,Others,2,30%,,,,,0.05,0.5,0.0,0.0,0.05,0.15,,
2023-07-10,20s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Yes,-1,No,Poor,Good,Good,Poor,30,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster2,Others,Prefer not to answer,30%,,,,,,,,,,,,
2023-07-10,20s,Female,Doctrate,GA: Gamma-ray astronomy,Experimentalist,1 - 3 years,Prefer not to answer,2,No,Good,Good,Good,Good,30,Poor,Agree,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Others,Cluster1,Others,2,30%,,,,,0.1051948051948052,0.4577922077922078,,,0.1047619047619047,0.438095238095238,,
2023-07-10,20s,Male,Postdoc,CRI: Cosmic-ray physics (Indirect),Experimentalist,5 - 10 yeas,No,2,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,50,No interest,No interest,No interest,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster2,Cluster2,Others,2,50%,,,,,,,,,,,,
2023-07-10,40s,Female,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,4,No,Good,Poor,Good,Very Poor,25,Good,Agree,Agree,Agree,Prefer not to answer,Junior High school,Europe,Europe,Cluster2,Others,Others,Others,4,25%,,,,,,,0.0,0.0,,,,
2023-07-10,40s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Theorist,> 10 years,Yes,3,Prefer not to answer,Good,Good,Good,Good,40,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster2,Cluster2,Others,Cluster2,3,40%,0.0,0.125,0.0,0.2625,0.1839743589743589,0.4506410256410256,-0.0302380952380952,0.3820238095238095,0.0051948051948051,0.4006493506493506,,
2023-07-10,20s,Male,Master,NU: Neutrino astronomy & physics,Experimentalist,3 - 5 years,Yes,0,No,Good,Very Good,Very Good,Good,40,Good,Agree,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Cluster2,Cluster2,Cluster2,0,40%,0.0,0.1666666666666666,,,0.3787878787878787,0.6666666666666666,-0.2,0.3,,,,
2023-07-10,30s,Female,Doctrate,CRD: Cosmic-ray physics (Direct),Experimentalist,1 - 3 years,No,2,No,Very Poor,Very Poor,Poor,Poor,-1,Poor,Prefer not to answer,Agree,Agree,Agree,High school,Europe,Europe,Cluster1,Cluster1,Cluster1,Cluster1,2,Prefer not to answer,,,-0.1166666666666666,0.5666666666666667,,,,,0.072,0.5660000000000001,,
2023-07-10,50s,Male,Permanent staff,CRD: Cosmic-ray physics (Direct),Experimentalist,> 10 years,Yes,1,No,Poor,Very Poor,Very Poor,Very Poor,10,Very Poor,Agree,No interest,No interest,No interest,High school,Europe,Europe,Cluster2,Cluster1,Others,Cluster1,1,10%,,,,,,,,,,,,
2023-07-10,40s,Male,Permanent staff,GA: Gamma-ray astronomy,Theorist,> 10 years,Yes,5,No,Good,Good,Good,Good,20,Poor,Agree,Agree,Agree,Agree,Junior High school,America,America,Cluster2,Cluster1,Others,Cluster1,5,20%,,,,,,,,,,,,
2023-07-10,20s,Female,Doctrate,CRD: Cosmic-ray physics (Direct),Experimentalist,3 - 5 years,Prefer not to answer,3,No,Very Poor,Poor,Good,Poor,20,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Asia,Cluster1,Cluster1,Cluster1,Cluster1,3,20%,,,,,,,,,0.0,0.0,,
2023-07-10,30s,Male,Postdoc,MM&GW: Multimessenger & gravitational wave,Prefer not to answer,3 - 5 years,No,1,No,Good,Good,Prefer not to answer,Prefer not to answer,33,Poor,Agree,Agree,Agree,Agree,Junior High school,Europe,Europe,Cluster1,Others,Cluster2,Others,1,30%,,,,,-0.010081585081585,0.5139277389277389,,,,,,
2023-07-10,30s,Female,Fixed-term staff,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,Yes,1,Yes,Good,Poor,Good,Good,29,Good,Prefer not to answer,Agree,Agree,Agree,Elementary school,Europe,Europe,Cluster1,Others,Cluster1,Cluster2,1,25%,,,,,,,,,,,,
2023-07-10,30s,Female,Postdoc,Prefer not to answer,Others,Prefer not to answer,No,-1,No,Very Poor,Poor,Poor,Poor,30,Very Poor,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Junior High school,Europe,America,Cluster1,Others,Cluster1,Others,Prefer not to answer,30%,,,0.5,0.5,0.15,0.575,0.0,0.4,-0.0089285714285714,0.4339285714285714,0.215,0.615
